qed_sa_scale_cord,qed_sa_scale_categ,mol_stable,atm_stable,recon_success,eval_success,complete,JSD_6-6|1,JSD_6-6|2,JSD_6-6|4,JSD_6-7|1,JSD_6-7|2,JSD_6-7|4,JSD_6-8|1,JSD_6-8|2,JSD_All_12A,JSD_CC_2A,atom_type_js,n_recon,n_complete,n_eval,QED_mean,QED_med,SA_mean,SA_med,Vina_score_mean,Vina_score_med,Vina_min_mean,Vina_min_med
-1.0,0.0,0.1800,0.8933,1.0000,0.9000,0.9000,0.4510,0.2921,0.3592,0.3476,0.4150,0.3931,0.4377,0.4366,0.0714,0.3046,0.0824,100,90,90,0.5221,0.5370,0.5630,0.5600,-6.6836,-6.6880,-7.2204,-7.1120
-1.0,-0.1,0.1900,0.8960,1.0000,0.9000,0.9000,0.4557,0.2844,0.3602,0.3603,0.4220,0.3523,0.4424,0.4266,0.0728,0.3096,0.0799,100,90,90,0.5140,0.5105,0.5628,0.5600,-6.6910,-6.5680,-7.2418,-7.1185
-1.0,-1.0,0.2000,0.8906,1.0000,0.9100,0.9100,0.4751,0.3317,0.2886,0.3461,0.4582,0.3519,0.4628,0.4297,0.0778,0.3307,0.0802,100,91,91,0.5066,0.5185,0.5877,0.5800,-6.6902,-6.5560,-7.1393,-7.0460
-1.0,-5.0,0.1400,0.8872,1.0000,0.9600,0.9600,0.4535,0.2866,0.3033,0.3321,0.4396,0.3525,0.4460,0.3917,0.0717,0.3063,0.0849,100,96,96,0.5108,0.5237,0.5793,0.5900,-6.6129,-6.6720,-7.1236,-7.0035
-1.0,-10.0,0.1800,0.8975,1.0000,0.9200,0.9200,0.4360,0.3075,0.3161,0.3287,0.4409,0.4515,0.4427,0.4413,0.0728,0.2892,0.0839,100,92,92,0.5153,0.5239,0.5814,0.5750,-6.8026,-6.6440,-7.2947,-7.1690
-1.0,-20.0,0.1500,0.8925,1.0000,0.9600,0.9600,0.4640,0.2767,0.2826,0.3536,0.3992,0.3281,0.5081,0.3934,0.0741,0.3131,0.0815,100,96,96,0.5167,0.5125,0.5893,0.5800,-6.7222,-6.6215,-7.2412,-7.1005
-1.0,-50.0,0.2000,0.8788,0.9900,0.9300,0.9400,0.4505,0.2713,0.2859,0.3448,0.4416,0.4408,0.4456,0.4093,0.0733,0.3001,0.0866,99,94,93,0.5084,0.5225,0.5957,0.5900,-6.7900,-6.6400,-7.3125,-7.0790
-1.0,-100.0,0.2000,0.8868,0.9900,0.9500,0.9500,0.4378,0.2843,0.2890,0.3782,0.5166,0.3626,0.4736,0.4416,0.0775,0.2950,0.0878,99,95,95,0.5252,0.5388,0.5978,0.6000,-6.7161,-6.6180,-7.2986,-7.2330
-1.0,-200.0,0.2300,0.8857,0.9900,0.9400,0.9400,0.4534,0.3072,0.3349,0.3547,0.5318,0.5339,0.4662,0.3939,0.0721,0.3134,0.0935,99,94,94,0.5481,0.5484,0.5954,0.6000,-6.5807,-6.4225,-7.2418,-7.1635
-5.0,0.0,0.2300,0.8963,1.0000,0.9300,0.9300,0.4589,0.3273,0.3173,0.3313,0.3989,0.3505,0.4416,0.3994,0.0715,0.3084,0.0877,100,93,93,0.5036,0.4767,0.5773,0.5700,-6.6411,-6.6930,-7.0910,-7.0390
-5.0,-0.1,0.2200,0.8883,0.9900,0.9200,0.9200,0.4545,0.3354,0.2971,0.3462,0.4403,0.3534,0.4515,0.4093,0.0710,0.3042,0.0904,99,92,92,0.5158,0.5264,0.5832,0.5800,-6.6994,-6.7635,-7.1782,-7.0320
-5.0,-1.0,0.2200,0.8994,0.9800,0.9000,0.9000,0.4451,0.3346,0.2917,0.3438,0.4129,0.3158,0.4831,0.4220,0.0697,0.2993,0.0862,98,90,90,0.4917,0.4889,0.5731,0.5700,-6.7168,-6.6655,-7.2028,-7.1250
-5.0,-5.0,0.2000,0.9002,1.0000,0.9500,0.9500,0.4470,0.3014,0.3135,0.3439,0.3841,0.3681,0.4538,0.4313,0.0727,0.3197,0.0769,100,95,95,0.5269,0.5322,0.5845,0.5800,-6.7361,-6.6600,-7.2456,-7.1900
-5.0,-10.0,0.2200,0.8887,0.9900,0.9400,0.9400,0.4432,0.3295,0.2959,0.3610,0.4313,0.3545,0.4530,0.4390,0.0717,0.2971,0.0814,99,94,94,0.5104,0.4975,0.5841,0.5800,-6.7206,-6.5565,-7.2014,-7.1000
-5.0,-20.0,0.1700,0.8723,1.0000,1.0000,1.0000,0.4436,0.2948,0.3484,0.3377,0.3981,0.4754,0.4208,0.4489,0.0812,0.3152,0.0889,100,100,100,0.5079,0.5354,0.5740,0.5800,-6.5946,-6.3615,-7.1374,-6.8945
-5.0,-50.0,0.1700,0.8853,1.0000,0.9600,0.9700,0.4491,0.2910,0.3181,0.3587,0.4304,0.3769,0.4621,0.3853,0.0771,0.3066,0.0797,100,97,96,0.5450,0.5819,0.5956,0.6000,-6.7465,-6.5960,-7.3229,-7.2435
-5.0,-100.0,0.2200,0.8765,1.0000,0.9300,0.9400,0.4475,0.3333,0.2990,0.3401,0.5227,0.4073,0.4519,0.4286,0.0763,0.3091,0.0954,100,94,93,0.5104,0.5267,0.5757,0.5800,-6.8642,-6.6880,-7.4029,-7.2590
-5.0,-200.0,0.2100,0.8834,0.9900,0.9500,0.9600,0.4353,0.3019,0.2796,0.3287,0.4554,0.4600,0.4565,0.3533,0.0717,0.2956,0.0972,99,96,95,0.5416,0.5591,0.5921,0.5900,-6.8281,-6.4760,-7.3037,-7.0930
